Artist;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;Eigenvector_Centrality;Community_ID
Almighty;0.005128205128205128;4.437915569287535e-05;0.171147888666476;0.0705210236808626;6
Paulo Londra;0.004487179487179487;0.002860308494809139;0.17733748703682364;0.02677254953568153;154
Brent Faiyaz;0.004487179487179487;0.002082630444327948;0.15665370074160245;0.0010117436011195392;22
Luis Fonsi;0.004487179487179487;0.0015920921597078013;0.18145348739283487;0.04034034356314401;6
Luísa Sonza;0.004487179487179487;0.005108269339965024;0.1594570092212963;0.0036786639953791467;84
Martin Garrix;0.004487179487179487;0.0035324839465031574;0.17097133833775055;0.0051725885837174;154
Samra;0.004487179487179487;0.0013595580124951413;0.14069576857777197;0.00010099035836546838;22
Robin Schulz;0.004487179487179487;0.004923906039549911;0.15775710582963579;0.0029402850541228186;154
Arijit Singh;0.004487179487179487;8.223548954786927e-06;0.004487179487179487;3.395792915227852e-13;25
Lil Nas X;0.004487179487179487;0.00047912286317715693;0.1754972632196266;0.004203000293652373;130
Stefflon Don;0.004487179487179487;0.007326534861039285;0.1924519454071242;0.016655797294449867;5
A Boogie Wit da Hoodie;0.004487179487179487;0.002636469620640494;0.16138229346116395;0.0011191782424911675;130
Mc Don Juan;0.004487179487179487;0.004553557233159534;0.11207709993549864;1.0863413294754866e-05;70
Gzuz;0.004487179487179487;0.0009550481973632909;0.12260660999009868;2.1835377501912474e-05;22
Roddy Ricch;0.004487179487179487;0.0028943914792902304;0.184237011321271;0.003303469226486169;164
Shiva;0.004487179487179487;0.006418891136658936;0.1341586655209773;0.00015073750430775676;141
Prince Royce;0.004487179487179487;0.00020538582270072047;0.1898506476341528;0.06282637135254765;6
Miksu / Macloud;0.004487179487179487;0.0027529666594410303;0.14091108262592705;9.457676852314822e-05;22
Polimá Westcoast;0.004487179487179487;0.0027976513544185127;0.1518596439294625;0.011681926054642616;80
Damso;0.004487179487179487;0.010037537170199536;0.13110236939140593;7.76667602171946e-05;126
Wesley Safadão;0.004487179487179487;0.01059556605820236;0.15936501479289938;0.0033458315392265953;85
Charlie Puth;0.004487179487179487;0.0017640934835662493;0.16521094037541406;0.0009848896781709893;8
Agust D;0.004487179487179487;0.00542469621047129;0.11519294925258228;3.3182871951538007e-06;16
Bryant Myers;0.004487179487179487;0.000725153626073469;0.1719290616022981;0.04004313467379825;80
Jamule;0.004487179487179487;0.001274896627629073;0.14115109468967416;0.00010494103157239824;22
Junior H;0.004487179487179487;0.0037716000769240023;0.13001224928193864;0.0005051659326753527;0
Internet Money;0.004487179487179487;0.0021941571621882905;0.1713248039948474;0.001685082686890612;130
187 Strassenbande;0.004487179487179487;4.187959902201097e-05;0.12260660999009868;2.2196356893076868e-05;22
Zion & Lennox;0.004487179487179487;0.0007846833217271586;0.1859735361137964;0.04361667921079349;80
Lyanno;0.004487179487179487;0.0002815836573785702;0.16329026146267525;0.02984161504414764;80
Taylor Swift;0.004487179487179487;0.003414666946413657;0.17125399399112975;0.0023949511230800984;5
Kin$oul;0.0038461538461538464;2.1929463879431805e-06;0.13623180616851502;6.564678370451737e-05;130
Maite Perroni;0.0038461538461538464;0.0;0.0038461538461538464;6.44710023567284e-12;131
Bass Santa;0.0038461538461538464;2.19294638794318e-06;0.13623180616851502;6.564678370451737e-05;130
Chris Brown;0.0038461538461538464;0.002262766599706104;0.1887694936043455;0.015572511022404988;80
MEDUZA;0.0038461538461538464;0.002071444230460468;0.13133091551871265;0.0001634171035275486;154
Summer Cem;0.0038461538461538464;0.001440068878734155;0.14091108262592705;0.00010068002014937458;22
RBD;0.0038461538461538464;0.0;0.0038461538461538464;6.44710023567284e-12;131
Cris Mj;0.0038461538461538464;0.0002999784213740845;0.14500403795679387;0.00517244853215112;87
DaBaby;0.0038461538461538464;0.0016372017264610632;0.17783220534829977;0.0026854649494437;154
Christopher von Uckermann;0.0038461538461538464;0.0;0.0038461538461538464;6.44710023567284e-12;131
Stephanie Beatriz;0.0038461538461538464;4.1117744773934636e-06;0.0038461538461538464;2.5949667825502014e-13;74
Christian Chávez;0.0038461538461538464;0.0;0.0038461538461538464;6.44710023567284e-12;131
Abhir Hathi;0.0038461538461538464;0.0;0.136974888747616;0.0023663148972383505;87
Bejo;0.0038461538461538464;0.0;0.136974888747616;0.0023663148972383505;87
Cruz Cafuné;0.0038461538461538464;0.0;0.136974888747616;0.0023663148972383505;87
EL IMA;0.0038461538461538464;0.0;0.136974888747616;0.0023663148972383505;87
Juseph;0.0038461538461538464;0.0;0.136974888747616;0.0023663148972383505;87
La Pantera;0.0038461538461538464;0.0;0.136974888747616;0.0023663148972383505;87
Anahí;0.0038461538461538464;0.0;0.0038461538461538464;6.44710023567284e-12;131
Alfonso Herrera;0.0038461538461538464;0.0;0.0038461538461538464;6.44710023567284e-12;131
Polo G;0.0038461538461538464;0.004149554356447248;0.16640523632993512;0.001256933485528038;5
Dulce María;0.0038461538461538464;0.0;0.0038461538461538464;6.44710023567284e-12;131
Xand Avião;0.0038461538461538464;0.003908102731866626;0.13189528520182667;0.00020669581201608248;85
MC Ryan SP;0.0038461538461538464;8.223548954786927e-06;0.003926282051282051;1.0758922657188768e-14;52
The Neptunes;0.0038461538461538464;0.00032644547077514014;0.17160863054940503;0.002480905836091339;22
Juicy J;0.0038461538461538464;0.0025467935742972117;0.16912205651491366;0.0015193078179489704;2
Like Mike;0.0038461538461538464;0.0;0.17171530810672958;0.02310789956108528;154
Dimitri Vegas & Like Mike;0.0038461538461538464;0.0;0.17171530810672958;0.02310789956108528;154
Jimin;0.0038461538461538464;0.00279929606420947;0.145181863511401;0.00016445779935277;15
Dimitri Vegas;0.0038461538461538464;0.0;0.17171530810672958;0.02310789956108528;154
Afro Bros;0.0038461538461538464;0.0;0.17171530810672958;0.02310789956108528;154
Takeoff;0.0038461538461538464;6.044421564475835e-05;0.16600522374260354;0.0027406370664379343;164
Jay Wheeler;0.0038461538461538464;8.249327973179968e-05;0.1646856273694509;0.02827579373843437;6
Fridayy;0.0038461538461538464;0.0002791414571200164;0.1722506915242313;0.0028810000987400755;164
Black Eyed Peas;0.0038461538461538464;0.0005252071598422143;0.18564025020678246;0.037767128699100906;6
